watch_event_id;user_id;content_id;device_id;watch_date;watch_duration_minutes;completion_rate;is_completed
1001;1;101;1;1.05.2026;148;100;1
1002;1;102;2;2.05.2026;20;44;0
1003;2;103;3;1.05.2026;152;100;1
1004;3;104;4;3.05.2026;50;100;1
1005;4;102;5;4.05.2026;45;100;1
1006;5;101;6;4.05.2026;74;50;0
1007;1;104;1;5.05.2026;50;100;1
1008;6;108;7;6.05.2026;181;100;1
1009;7;109;8;6.05.2026;22;100;1
1010;8;107;9;7.05.2026;30;50;0
1011;9;106;10;7.05.2026;136;100;1
1012;10;110;11;8.05.2026;132;100;1
1013;2;101;3;8.05.2026;148;100;1
